ResortName,PassAffiliation,Latitude,Longitude
Alyeska,Ikon,63.588753,-154.4930619
Arctic Valley,Indy,61.2391787,-149.6337609
Birch Hill Ski & Snowboard Area,,64.8580552,-147.6184949
Eaglecrest,"Indy, Powder Alliance, Freedom",58.3,-134.42
Hillberg Ski Area,,61.2752023,-149.8208121
Hilltop Ski Area,,61.140846,-149.744961
Homer Rope Tow,,59.7086718,-151.4911336
Iceman Falls,,64.6500088,-146.978946
Moose Mountain Ski Resort,Indy,64.94,-147.99
Mount Eyak,Indy,60.5500012,-145.7499932
Skeetawk,,61.7431411,-149.2338562
Ski Land Ski and Snowboard Area,,65.0458808,-147.409476
Arizona Snowbowl,Power,35.3307109,-111.7058368
Elk Ridge,,53.8928018,-105.9894008
Mt. Lemmon,,32.4434174,-110.7881222
Sunrise Park Resort,Indy,33.9737271,-109.5642283
Alta Sierra,,39.1415618,-121.0538368
Badger Pass,,37.6622677,-119.6633655
Bear Mountain (Big Bear),Ikon,34.2280484,-116.8604308
Bear Valley,"Indy, Powder Alliance",38.4646337,-120.0399088
Boreal Mountain California,,39.3360462,-120.3504985
buckhorn ski and snowboard club,,34.341899,-117.919709
China Peak,"Indy, Powder Alliance",37.2364356,-119.1573708
Coppervale,,40.34667,-120.90389
Dodge Ridge,"Indy, Powder Alliance",38.1898028,-119.9558639
Donner Ski Ranch,,39.3181619,-120.3301365
Granlibakken,,39.1562348,-120.1542955
Heavenly Mountain Resort,Epic,38.9287152,-119.9051153
Homewood,,39.08,-120.17
June Mountain,Ikon,37.7679169,-119.0906293
Kingvale,,39.3195198,-120.4324796
Kirkwood,Epic,38.7023082,-120.0722442
Mammoth,Ikon,37.648546,-118.972079
Mt. Baldy,,34.2363809,-117.6589752
Mt. Shasta,"Indy, Powder Alliance",41.4098732,-122.1948817
Mt. Waterman,,34.3493069,-117.9287896
Mountain High: East,"Indy, Powder Alliance",34.3725051,-117.6770248
Mountain High Resort,"Indy, Powder Alliance",34.3769418,-117.6915242
Northstar,Epic,39.2646579,-120.1331868
Palisades Tahoe,Ikon,39.1906091,-120.2483913
Sierra-at-Tahoe,"Ikon, Powder Alliance",38.8002432,-120.0804043
Snow Summit (Big Bear),Ikon,34.2363263,-116.889028
Snow Valley,Ikon,34.224952,-117.036034
Soda Springs,,39.323489,-120.379338
Sugar Bowl Resort,Mountain Collective,39.3006772,-120.3348481
Tahoe Donner,,39.3547403,-120.2585675
Arapahoe Basin,"Ikon, Mountain Collective",39.634108,-105.8714672
Aspen Highlands,"Ikon, Mountain Collective",39.1820055,-106.8563952
Aspen Mountain,"Ikon, Mountain Collective",39.1862685,-106.818212
Beaver Creek,Epic,39.604225,-106.516515
Breckenridge,Epic,39.4816537,-106.0383518
Buttermilk Ski Resort,"Ikon, Mountain Collective",39.2058029,-106.8610687
Chapman Hill Ski Area,,37.2829766,-107.8684265
Copper Mountain,Ikon,39.5066533,-106.1422441
Cranor Hill,,38.5869835,-106.896029
Crested Butte,Epic,38.8697146,-106.9878231
Cuchara,,37.35,-105.12
Echo Mountain,Indy,39.6845817,-105.5193928
Eldora,Ikon,39.9494543,-105.5702333
Frisco,,33.1506744,-96.8236116
Granby Ranch,Indy,40.0446489,-105.9063325
Hesperus,Power,37.2861114,-108.0395165
Hoedown Hill,Indy,40.4520656,-104.9313209
Howelsen Hill,Indy,40.4833683,-106.8379721
Kendall Mountain,,37.8111854,-107.6568195
Keystone,Epic,39.5791675,-105.9347384
lee's ski hill,,38.0193644,-107.6691359
Loveland,"Indy, Powder Alliance, Power",40.395451,-105.0745837
Loveland Valley,"Indy, Powder Alliance, Power",39.6800625,-105.8979531
Monarch Mountain,Power,38.5120635,-106.3319719
powderhorn mountain resort,Indy,39.0693741,-108.1507111
purgatory ski resort,Power,37.6276821,-107.8376083
Ski Cooper,"Powder Alliance, Freedom",39.3601951,-106.301445
Snowmass,"Ikon, Mountain Collective",39.2130418,-106.9378207
Steamboat,Ikon,40.4849769,-106.8317158
Sunlight Mountain Resort,"Indy, Freedom",39.3997821,-107.3387647
Telluride,Epic,37.9374939,-107.8122852
Vail Mountain    ,Epic,39.6060971,-106.3564172
Winter Park,Ikon,39.8916537,-105.7630624
Wolf Creek,,37.4722034,-106.7930328
Lakeridge Ski Area Torrington CT,,41.8750877,-73.111061
Mohawk Mountain,Indy,41.838231,-73.3150586
Mount Southington,Freedom,41.5825414,-72.9248467
Powder Ridge,,41.5,-72.7
Ski Sundown,,41.8846852,-72.9466986
Bald Mountain Ski Area,,46.5704942,-115.8695735
Martin Blizzard Mountain Ski Hill,,43.5080067,-113.5596528
Bogus Basin,"Powder Alliance, Freedom",43.7640569,-116.1026168
Brundage Mountain Resort,Indy,45.0054,-116.154412
chipmunk hill ski area,,44.4710343,-114.3227927
Cottonwood Butte,,46.0755855,-116.4526032
Gateway Parks: Eagle Island,,43.6851978,-116.3961909
Gateway Parks: Idaho Falls,,43.4671613,-112.0702123
Kelly Canyon,Indy,43.6460169,-111.6298851
Little Ski Hill,,44.929989,-116.163082
Lookout Pass,,47.4554862,-115.6968233
Magic Mountain Ski Resort,,42.1894229,-114.2853163
Pebble Creek,,42.7785571,-112.1592798
Pomerelle,Indy,42.3179871,-113.6077523
Rotarun,,43.4973787,-114.3650597
Schweitzer Mountain,Ikon,48.3760268,-116.6171258
Silver Mountain,"Indy, Powder Alliance",47.540718,-116.133171
Snowhaven,,45.8691423,-116.0903712
Soldier Mountain,Indy,43.485512,-114.82938
Sun Valley Resort,"Ikon, Mountain Collective",43.6971294,-114.3517172
Tamarack,Indy,44.9551656,-116.3856896
Alpine Hills Adventure Park,,42.2590261,-89.0313376
Chestnut Mountain,Indy,42.319017,-90.393793
Fourlakes,,41.7823442,-88.0835789
Snowstar,Indy,41.425203,-90.7461749
Villa Olivia,,42.012825,-88.22016
Paoli Peaks,Epic,38.5555868,-86.5122305
Perfect North Slopes,,40.6331249,-89.3985283
Mt. Crescent,,41.39421,-95.860359
Seven Oaks Ski Resort,Freedom,42.0306987,-93.9533806
Sundown Mountain Resort,Indy,42.5163315,-90.8186286
Baker Mountain,,48.7766868,-121.8144142
Big Moose Mountain Ski Area,"Indy, Uphill New England",45.5066618,-69.7020055
Bigrock Mountain,Indy,46.5224036,-67.8289461
Black Mountain of Maine,"Indy, Uphill New England",44.5769444,-70.6133333
Camden Snow Bowl,"Indy, Uphill New England",44.2177097,-69.1314385
Caribou High School,,46.8640471,-68.034006
Hermon Mountain,,44.78,-68.96
Lost Valley Ski Resort,"Indy, Freedom",44.1360699,-70.282957
Mount Abram,"Indy, Uphill New England",44.3797963,-70.7068649
Mount Jefferson,,45.35,-67.72
Pinnacle Ski Club,,44.7830774,-69.3821141
Pleasant Mountain Ski Resort,,44.058319,-70.8151591
Powderhouse Hill,,43.2370209,-70.8022414
Quarry Road,,44.5741958,-69.6520251
Quoggy Jo Ski Center,,46.7224998,-67.9291305
